Форма 15. Расход воды рек, ручьев, каналов, куб. м/с;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Среднесуточные расходы воды рек, ручьев, каналов по постам , куб. м/с;;;;;;;;;;;;
;;;;;;;;;;;;
Условия выбора данных:;;;;;;;;;;;;
Год: 2022;;;;;;;;;;;;
Бассейновый округ: Нижнеобский бассейновый округ;;;;;;;;;;;;
Бассейн: (Нижняя) Обь от впадения Иртыша;;;;;;;;;;;;
Подбассейн: Обь ниже впадения Северной Сосьвы;;;;;;;;;;;;
Водохозяйственный участок: Обь от впадения р. Северная Сосьва до г. Салехард;;;;;;;;;;;;
;;;;;;;;;;;;
Условные обозначения;;;;;;;;;;;;
;;;;;;;;;;;;
Символ;Описание;;;;;;;;;;;
"""";наибольший и наименьший расход за месяц;;;;;;;;;;;
^;наибольший расход за месяц;;;;;;;;;;;
_;наименьший расход за месяц;;;;;;;;;;;
ю;пониженная точность измерения;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Код поста;11801;;;;;;;;;;;
Год;2022;;;;;;;;;;;
Река-пост;ОБЬ - р. Обь - г. Салехард;;;;;;;;;;;
Число;Месяц;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12
1;5480 ^;4970 ^;4810;4080;4210 _;33100 ^;31600 ^;18900 ^;10800;9670 ^;6640;4630 ^
2;5460;4960;4820;4040;4310;33000;31400;18400;10900;9130;6270;4610
3;5450;4950;4830;4010;4420;32800;31300;17900;11400;8800;6540;4590
4;5440;4940;4830;3980;4530;32500;31200;17400;11500 ^;8150;6770;4570
5;5430;4930;4840;3950;5000;32600;31000;17000;11300;7990;6760;4550
6;5420;4920;4850;3920;5340;32800;30800;16700;10900;8580;6740;4520
7;5410;4910;4850;3880;5780;32800;30400;16300;10800;8960;6930;4500
8;5400;4900;4860 ^;3850;6340;32600;30000;15900;10900;8530;7050;4480
9;5380;4880;4820;3820;7100;32500;29700;15300;10900;8100;7280;4460
10;5370;4870;4790;3790;8160;32400;29500;14800;10500;7830;7900;4440
11;5360;4860;4750;3750;9400;32300;29200;14200;10100;7770;8060 ^;4420
12;5350;4850;4720;3720;10700;32200;28900;14000;9780;7670;7780;4400
13;5330;4840;4690;3690;12000;32000;28600;14000;9620;7830;7590;4410
14;5300;4830;4650;3660;13600;31800;28300;13100;9450;8420;7510;4420
15;5280;4820;4620;3630;15500;31700;28000;12600;9340;8310;7330;4430
16;5260;4810;4590;3590;17700;31700;27700;12500;9290;8150;7150;4440
17;5240;4800;4560;3560;19900;31600;27300;12800;9290;8100;7060;4450
18;5210;4790;4530;3530 _;22500;31500;26900;13800;9290;8150;7070;4460
19;5190;4780;4490;3570;25300;31400;26500;14300;9180;8150;7120;4470
20;5170;4770;4460;3610;26100;31300;26000;13700;9180;7830;7000;4480
21;5140;4760 _;4430;3660;27400;31100;25500;13900;9780;7610;7310;4490
22;5120;4770;4400;3700;29500;31000;24900;13800;9340;7400;7740;4500
23;5100;4770;4360;3740;31700;31000;24300;12900;7770 _;7130;7470;4480
24;5080;4780;4330;3780;33100;30900;23600;12100;7830 _;7340;7170;4460
25;5050;4790;4300;3820;33100;30800;22900;11600;8210;7500;6680;4440
26;5030;4790;4270;3860;33200;30800 _;22200;11400;9020;7720;6170;4420
27;5020;4800;4240;3910;33200;31200;21500;11300;10400;7830;5620;4410
28;5010;4810;4200;3950;33300;30900;21000;11300;10700;7720;5200;4390
29;5000;;4170;3990;33400 ^;31300;20300;11400;10700;6910;4670;4370
30;4990;-;4140;4100 ^;33300;31400;19700;11300;10300;6640 _;4650 _;4350
31;4980 _;-;4110 _;-;33200;-;19200 _;10800 _;-;6640 _;-;4330 _
Декада;;;;;;;;;;;;
1;5420;4920;4830;3930;5520;32700;30700;16900;11000;8570;6890;4540
2;5270;4820;4610;3630;17300;31800;27700;13500;9450;8040;7370;4440
3;5050;4780;4270;3850;32200;31000;22300;12000;9410;7310;6270;4420
Средн.;5240;4840;4560;3800;18800;31800;26800;14000;9950;7950;6840;4460
Наиб.;5480;4970;4860;4100;33400;33200;31600;19000;11500;9830;8060;4630
Наим.;4980;4760;4110;3530;4210;30600;19100;10800;7770;6590;4650;4330
;;;;;;;;;;;;
;;;;;;;;;;;;
Средний расход воды;Наибольший;;;;Наименьший периода открытого русла;;;;Наименьший зимнего периода;;;
;расход;дата;;число случаев;расход;дата;;число случаев;расход;дата;;число случаев
;;первая;последняя;;;первая;последняя;;;первая;последняя;
11600;33400;29.05.2022;;1;6590;30.10.2022;31.10.2022;2;3530;18.04.2022;;1
;;;;;;;;;;;;
;;;;;;;;;;;;
